frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.35504382848739624,0.8391565680503845,-1.8591502737308474e-07,0.3550235629081726,0.7650184035301208,-0.0011212946847081184,0.38254514336586,0.6773655414581299,-0.011101629585027695,0.42090266942977905,0.6306092143058777,-0.01871313713490963,0.4400051534175873,0.6270632147789001,-0.024994568899273872,0.3580215871334076,0.6632129549980164,-0.03434602916240692,0.41625478863716125,0.6195129156112671,-0.04405023902654648,0.4177844524383545,0.652274489402771,-0.04607966169714928,0.4076409339904785,0.6690707206726074,-0.04801412671804428,0.3707975149154663,0.7067174315452576,-0.03990327566862106,0.4289739429950714,0.6564159989356995,-0.05498221144080162,0.43625330924987793,0.6906183362007141,-0.05651664733886719,0.43486061692237854,0.7167659997940063,-0.0558011457324028,0.38895732164382935,0.7501099109649658,-0.043245721608400345,0.4476402997970581,0.6835758090019226,-0.05461835861206055,0.4781610369682312,0.6544284820556641,-0.05824503302574158,0.4991641938686371,0.627759575843811,-0.06145894527435303,0.4101572632789612,0.7852914333343506,-0.044555213302373886,0.43906691670417786,0.742660641670227,-0.0459962822496891,0.43317940831184387,0.7556545734405518,-0.040777336806058884,0.42452937364578247,0.7633527517318726,-0.0397624745965004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.35507288575172424,0.8480984568595886,-1.6530708535356098e-07,0.3551049828529358,0.7651335000991821,0.0006483089528046548,0.3860993981361389,0.6780890226364136,-0.009418302215635777,0.4265616238117218,0.6359744668006897,-0.01733694225549698,0.4434012770652771,0.6410001516342163,-0.024143371731042862,0.36089521646499634,0.6671685576438904,-0.034548062831163406,0.4209257960319519,0.6224753856658936,-0.04383225366473198,0.4197239875793457,0.656872034072876,-0.04537568241357803,0.4087787866592407,0.6739919781684875,-0.0468808114528656,0.37409043312072754,0.715353786945343,-0.04116389900445938,0.432718425989151,0.6621516346931458,-0.05386706441640854,0.4378908574581146,0.6918871402740479,-0.05531935393810272,0.4355758726596832,0.716916561126709,-0.05524614080786705,0.3924664855003357,0.760383665561676,-0.04545440524816513,0.4506286084651947,0.6931002140045166,-0.05448772758245468,0.48297905921936035,0.6601248383522034,-0.059700410813093185,0.5072612166404724,0.6303832530975342,-0.06492212414741516,0.4159112572669983,0.7957966923713684,-0.047470469027757645,0.44331517815589905,0.7487966418266296,-0.04580137878656387,0.4373655319213867,0.7598452568054199,-0.04021238535642624,0.42962977290153503,0.767892062664032,-0.039977770298719406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.35412517189979553,0.8484963774681091,-1.5436928890721902e-07,0.35404521226882935,0.7669886946678162,-0.0004599878448061645,0.38542330265045166,0.6821283102035522,-0.010565580800175667,0.42531803250312805,0.6396063566207886,-0.018415415659546852,0.44478291273117065,0.6338176727294922,-0.025213828310370445,0.36017000675201416,0.66596519947052,-0.0344473272562027,0.4211563467979431,0.6228913068771362,-0.043713539838790894,0.42057979106903076,0.6576024889945984,-0.0456424206495285,0.409638375043869,0.677107572555542,-0.04712546616792679,0.3730292022228241,0.7148324251174927,-0.04007301479578018,0.4323079586029053,0.6630890965461731,-0.05220625177025795,0.43809962272644043,0.6915785670280457,-0.05412832275032997,0.4352770447731018,0.7148182988166809,-0.05476057529449463,0.3916556239128113,0.7599589228630066,-0.043483667075634,0.4503452181816101,0.6912170052528381,-0.05144816264510155,0.4834970533847809,0.6599941253662109,-0.05570397898554802,0.5080052018165588,0.6311113834381104,-0.0607934296131134,0.4148862957954407,0.7947099804878235,-0.044860757887363434,0.44348829984664917,0.7473124861717224,-0.04282917082309723,0.4376399517059326,0.7587512135505676,-0.036807820200920105,0.4297506511211395,0.7657597661018372,-0.03640955314040184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.35269859433174133,0.8392688632011414,-1.1114519793409272e-07,0.35320666432380676,0.757159411907196,-0.002614178927615285,0.3853992819786072,0.6725496053695679,-0.013736900873482227,0.42573967576026917,0.6343775391578674,-0.022141672670841217,0.4424597918987274,0.6336212754249573,-0.02946469932794571,0.3586253225803375,0.6573108434677124,-0.0369105227291584,0.42055895924568176,0.6153589487075806,-0.04646291211247444,0.41912826895713806,0.6507963538169861,-0.04850281402468681,0.4072350561618805,0.6707913279533386,-0.04982791841030121,0.37055447697639465,0.7088534832000732,-0.041274454444646835,0.4309386909008026,0.6590214967727661,-0.05355711281299591,0.43931278586387634,0.6850374341011047,-0.055498234927654266,0.4392739534378052,0.7058829665184021,-0.05617736279964447,0.3882400691509247,0.7559219002723694,-0.04346831142902374,0.44645828008651733,0.6889790296554565,-0.051346275955438614,0.48126745223999023,0.6564536690711975,-0.05543015897274017,0.5080522298812866,0.6257408857345581,-0.06031893938779831,0.41104552149772644,0.7910217046737671,-0.043809302151203156,0.43939587473869324,0.741381049156189,-0.041066739708185196,0.4328095614910126,0.7500311136245728,-0.03451335057616234,0.42459797859191895,0.7547618746757507,-0.03384857252240181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.350698322057724,0.8227540254592896,-9.715375171026608e-09,0.3530976474285126,0.7438656091690063,-0.0034527392126619816,0.3826201558113098,0.6626366972923279,-0.015309508889913559,0.4192770719528198,0.6215389370918274,-0.024792075157165527,0.4359291195869446,0.618806779384613,-0.03300566226243973,0.3547508418560028,0.6422637104988098,-0.03598848730325699,0.4146685302257538,0.5982837080955505,-0.04740586876869202,0.4188326895236969,0.6325364708900452,-0.05099751427769661,0.4096831977367401,0.6534432768821716,-0.05305013805627823,0.3661311864852905,0.6899899244308472,-0.04117896035313606,0.42730236053466797,0.6418402194976807,-0.05390375480055809,0.44426703453063965,0.6634131669998169,-0.05555861443281174,0.45066118240356445,0.6794794797897339,-0.05613863840699196,0.3827705681324005,0.7351619005203247,-0.04474210366606712,0.43946734070777893,0.6721428632736206,-0.05304828658699989,0.47485363483428955,0.6398075222969055,-0.05605331063270569,0.5022233724594116,0.6078004837036133,-0.060219600796699524,0.40550217032432556,0.7722432613372803,-0.046961404383182526,0.4335758090019226,0.7299022078514099,-0.04530926048755646,0.42672476172447205,0.7377142310142517,-0.038723237812519073,0.4185478687286377,0.7413744330406189,-0.03753098100423813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.3452441394329071,0.7977969646453857,7.849217809052789e-08,0.3488598167896271,0.7227743864059448,-0.004052918404340744,0.3755084276199341,0.6418685913085938,-0.014716999605298042,0.40816470980644226,0.595786988735199,-0.022796032950282097,0.4254281222820282,0.5838078856468201,-0.029241343960165977,0.34735268354415894,0.6165690422058105,-0.03322457894682884,0.40296870470046997,0.5724280476570129,-0.0439777709543705,0.4102635979652405,0.6022138595581055,-0.04766438156366348,0.404045969247818,0.6225287914276123,-0.04965795576572418,0.3577324151992798,0.6572125554084778,-0.03774246200919151,0.42012616991996765,0.6131758093833923,-0.04875614494085312,0.44482892751693726,0.6295256614685059,-0.05025198683142662,0.45894888043403625,0.6395110487937927,-0.05137994885444641,0.3734094202518463,0.6989854574203491,-0.040880609303712845,0.43022242188453674,0.6451722979545593,-0.0494828000664711,0.46754971146583557,0.6166645884513855,-0.052567437291145325,0.4966735243797302,0.5860683917999268,-0.05660928040742874,0.3946554362773895,0.7351998090744019,-0.042881209403276443,0.4252367615699768,0.6986834406852722,-0.042621780186891556,0.4204835295677185,0.7097650170326233,-0.03675723448395729,0.4141174554824829,0.7145094871520996,-0.03559718653559685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.341147780418396,0.7630228996276855,-3.456494468423443e-08,0.35066214203834534,0.6913232803344727,0.0012708844151347876,0.3757064640522003,0.60957932472229,-0.007763974834233522,0.40463754534721375,0.5614362955093384,-0.015905147418379784,0.42077192664146423,0.5469808578491211,-0.02236741967499256,0.3389859199523926,0.575569748878479,-0.020940110087394714,0.39202865958213806,0.5328636169433594,-0.031919002532958984,0.3986586034297943,0.5633808374404907,-0.03701001778244972,0.39332064986228943,0.5839423537254333,-0.0404914990067482,0.34526053071022034,0.6107090711593628,-0.029561778530478477,0.40065404772758484,0.5662059187889099,-0.044951386749744415,0.41338926553726196,0.5965784192085266,-0.05000559985637665,0.4175558090209961,0.6204608678817749,-0.05115336552262306,0.3596314489841461,0.6483274698257446,-0.03722881153225899,0.4166536331176758,0.5935415625572205,-0.048755623400211334,0.44996678829193115,0.5660260915756226,-0.05534220486879349,0.47468486428260803,0.5358334183692932,-0.0605427585542202,0.3815946877002716,0.6836845278739929,-0.04322667792439461,0.4132769703865051,0.6588402390480042,-0.04547719657421112,0.4113260805606842,0.6733951568603516,-0.042566653341054916,0.4064772129058838,0.677638053894043,-0.04278183355927467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.3375963568687439,0.7260837554931641,1.805860705417217e-07,0.35470226407051086,0.6590344905853271,-0.0045018368400633335,0.3706907033920288,0.580398440361023,-0.013323024846613407,0.38893240690231323,0.5313802361488342,-0.021062182262539864,0.4034463167190552,0.5055328607559204,-0.026544280350208282,0.32619839906692505,0.5363682508468628,-0.01753232069313526,0.3768681585788727,0.49474066495895386,-0.029871908947825432,0.387234091758728,0.522622287273407,-0.037302371114492416,0.3844745457172394,0.5423158407211304,-0.0419919490814209,0.332987517118454,0.5650463700294495,-0.023790758103132248,0.3919675648212433,0.5165981650352478,-0.03582325577735901,0.4178544282913208,0.5342265367507935,-0.0392681285738945,0.4337196946144104,0.547355055809021,-0.039965447038412094,0.346232146024704,0.5982990264892578,-0.030406342819333076,0.3985529839992523,0.5430974364280701,-0.04049457982182503,0.42184221744537354,0.518020510673523,-0.04361341521143913,0.43718934059143066,0.48520809412002563,-0.0463770367205143,0.36630696058273315,0.6325510740280151,-0.036787740886211395,0.4028357267379761,0.6149915456771851,-0.03936224430799484,0.40105074644088745,0.6368681788444519,-0.034192390739917755,0.39518609642982483,0.646224856376648,-0.03179071843624115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.3290805220603943,0.6808646321296692,1.4563400441147678e-07,0.344046413898468,0.6037353873252869,-0.003752649761736393,0.35604801774024963,0.5318329334259033,-0.013106872327625751,0.37429237365722656,0.4841112196445465,-0.022731997072696686,0.38765278458595276,0.46115434169769287,-0.02895520254969597,0.30698156356811523,0.49051690101623535,-0.012767793610692024,0.3605441749095917,0.44520169496536255,-0.02760198898613453,0.36875277757644653,0.47776490449905396,-0.03701861575245857,0.364907830953598,0.5033853650093079,-0.043197453022003174,0.31461969017982483,0.515444278717041,-0.01949341781437397,0.37146344780921936,0.4742823541164398,-0.0319165401160717,0.38479796051979065,0.5009886026382446,-0.03585657849907875,0.38659802079200745,0.5171056389808655,-0.03881276771426201,0.3292931020259857,0.5452347993850708,-0.02688850276172161,0.38027870655059814,0.5045067667961121,-0.03597858548164368,0.37912866473197937,0.5315370559692383,-0.031816910952329636,0.3688533306121826,0.5421159267425537,-0.02975497581064701,0.34948521852493286,0.5764466524124146,-0.03491872921586037,0.3888930082321167,0.5604130029678345,-0.03891509398818016,0.383966326713562,0.589281439781189,-0.03351564332842827,0.37250301241874695,0.601574718952179,-0.030243784189224243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.31819722056388855,0.6437538862228394,2.658389348653145e-07,0.3330013155937195,0.5694946050643921,-0.0029020379297435284,0.3439576327800751,0.5046550631523132,-0.011656959541141987,0.36175912618637085,0.4621780812740326,-0.021126164123415947,0.37651076912879944,0.43740394711494446,-0.027734579518437386,0.29864856600761414,0.45047271251678467,-0.009821713902056217,0.34991559386253357,0.4078010022640228,-0.023055842146277428,0.36104825139045715,0.4397977292537689,-0.03346101567149162,0.3607918620109558,0.46605178713798523,-0.04112624377012253,0.3056337833404541,0.4674994647502899,-0.01732076331973076,0.3636441230773926,0.42191073298454285,-0.028204338625073433,0.38819655776023865,0.4306492507457733,-0.032936543226242065,0.4037635624408722,0.43688639998435974,-0.0370614193379879,0.3186657428741455,0.49552008509635925,-0.025427959859371185,0.3686414957046509,0.45419546961784363,-0.033600762486457825,0.3689481019973755,0.48383989930152893,-0.02951180562376976,0.3617928922176361,0.5028135180473328,-0.027823520824313164,0.3373362421989441,0.5293100476264954,-0.03440139442682266,0.37595459818840027,0.5164391398429871,-0.039516013115644455,0.37362274527549744,0.546502947807312,-0.034494798630476,0.3656938076019287,0.562250018119812,-0.03125482425093651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
